,streak,name,date
0,23,Emicida,2020-12-31 19:23:00
48,2,Vulfpeck,2020-12-30 13:45:00
50,3,Emicida,2020-12-29 12:04:00
51,2,ネクライトーキー,2020-12-29 11:54:00
52,5,Emicida,2020-12-29 03:06:00
54,6,Emicida,2020-12-29 00:04:00
77,2,Foo Fighters,2020-12-28 18:50:00
81,3,Phoenix,2020-12-28 18:12:00
83,2,ネクライトーキー,2020-12-28 17:34:00
118,9,Emicida,2020-12-27 16:41:00
170,18,Emicida,2020-12-24 03:42:00
175,19,Emicida,2020-12-23 21:02:00
176,2,ネクライトーキー,2020-12-23 20:51:00
193,5,Emicida,2020-12-22 17:27:00
194,3,ネクライトーキー,2020-12-22 17:15:00
212,13,Emicida,2020-12-21 18:27:00
219,19,Emicida,2020-12-20 13:28:00
220,6,ネクライトーキー,2020-12-20 02:42:00
222,6,Emicida,2020-12-20 01:32:00
224,13,Emicida,2020-12-19 19:21:00
228,5,Gen Hoshino,2020-12-19 18:45:00
229,8,Emicida,2020-12-19 16:02:00
231,3,Emicida,2020-12-19 15:43:00
233,6,Gen Hoshino,2020-12-19 01:23:00
236,6,Emicida,2020-12-19 00:47:00
237,2,Foster the People,2020-12-18 16:43:00
239,8,Emicida,2020-12-17 12:35:00
244,2,Emicida,2020-12-17 11:08:00
246,37,Emicida,2020-12-15 18:58:00
248,28,Emicida,2020-12-14 14:54:00
250,23,Emicida,2020-12-12 17:05:00
252,10,Emicida,2020-12-12 05:05:00
297,15,Foster the People,2020-12-11 19:34:00
311,3,Cory Wong,2020-12-10 22:57:00
319,2,Taichi Mukai,2020-12-10 15:28:00
358,4,Emicida,2020-12-09 15:08:00
392,3,Vulfpeck,2020-12-07 14:50:00
401,2,フレデリック,2020-12-07 14:12:00
428,2,Foster the People,2020-12-06 17:01:00
431,9,Cory Wong,2020-12-03 13:17:00
432,11,John Mayer,2020-12-02 19:18:00
433,15,Cory Wong,2020-11-30 18:11:00
439,18,Cory Wong,2020-11-30 12:50:00
443,2,Gen Hoshino,2020-11-28 00:32:00
445,12,Khruangbin,2020-11-26 18:37:00
448,5,Khruangbin,2020-11-26 12:43:00
449,2,Vulfpeck,2020-11-25 20:38:00
479,21,Hermeto Pascoal,2020-11-24 17:49:00
480,2,Baden Powell,2020-11-24 14:12:00
481,2,Racionais Mc's,2020-11-24 02:17:00
482,2,Gen Hoshino,2020-11-24 00:42:00
485,4,Baden Powell,2020-11-23 22:33:00
493,2,押尾コータロー,2020-11-23 14:31:00
496,9,Khruangbin,2020-11-23 13:23:00
524,2,Taichi Mukai,2020-11-22 13:19:00
541,3,Foo Fighters,2020-11-20 18:00:00
545,3,Phoenix,2020-11-20 17:41:00
547,4,Gen Hoshino,2020-11-19 18:26:00
552,2,Gen Hoshino,2020-11-19 17:48:00
568,3,Vulfpeck,2020-11-18 19:03:00
569,2,Chihiro Yamanaka,2020-11-18 18:54:00
577,2,Cory Wong,2020-11-18 18:18:00
578,23,Hermeto Pascoal,2020-11-16 15:00:00
580,2,Hermeto Pascoal,2020-11-16 14:37:00
592,3,Phoenix,2020-11-16 00:42:00
595,3,Phoenix,2020-11-15 15:14:00
601,3,Phoenix,2020-11-14 17:54:00
604,6,Gen Hoshino,2020-11-14 17:20:00
609,2,Gen Hoshino,2020-11-14 16:54:00
610,4,Baden Powell,2020-11-14 14:57:00
611,2,Taichi Mukai,2020-11-13 19:40:00
615,2,Taichi Mukai,2020-11-13 19:21:00
625,2,Gen Hoshino,2020-11-12 21:46:00
626,2,UNISON SQUARE GARDEN,2020-11-12 18:04:00
630,4,Taichi Mukai,2020-11-12 17:33:00
640,2,Taichi Mukai,2020-11-12 12:40:00
646,2,Antônio Carlos Jobim,2020-11-11 21:30:00
649,6,The Kooks,2020-11-11 21:03:00
678,2,Daft Punk,2020-11-10 11:48:00
685,2,Vulfpeck,2020-11-09 20:52:00
692,2,Khruangbin,2020-11-09 20:03:00
707,3,Taichi Mukai,2020-11-09 16:55:00
717,2,Fitz and the Tantrums,2020-11-09 11:51:00
718,3,Yuki Hayashi,2020-11-08 19:15:00
722,2,Taichi Mukai,2020-11-07 18:37:00
723,18,Yuki Hayashi,2020-11-07 17:48:00
732,2,Taichi Mukai,2020-11-07 09:36:00
744,2,Taichi Mukai,2020-11-06 03:21:00
755,16,Yuki Hayashi,2020-11-03 18:54:00
763,3,Vulfpeck,2020-11-03 16:43:00
780,2,Cory Wong,2020-11-01 02:55:00
781,2,Vulfpeck,2020-11-01 02:38:00
787,3,Phoenix,2020-10-30 18:42:00
788,2,Taichi Mukai,2020-10-30 18:41:00
791,15,Goose house,2020-10-28 18:31:00
792,4,Taichi Mukai,2020-10-28 17:12:00
824,27,Phoenix,2020-10-27 13:27:00
843,2,Taichi Mukai,2020-10-27 11:41:00
851,2,Taichi Mukai,2020-10-26 13:28:00
852,2,Foo Fighters,2020-10-26 13:21:00
867,2,Taichi Mukai,2020-10-25 14:42:00
879,3,Foo Fighters,2020-10-25 12:55:00
883,2,fripSide,2020-10-25 12:20:00
884,5,Foo Fighters,2020-10-25 11:57:00
898,2,Sungeun Lee,2020-10-25 10:57:00
901,2,Foo Fighters,2020-10-25 10:02:00
906,2,Daft Punk,2020-10-25 09:11:00
907,3,Foo Fighters,2020-10-25 00:12:00
933,2,UNISON SQUARE GARDEN,2020-10-23 00:40:00
941,2,Taichi Mukai,2020-10-23 00:03:00
943,2,Foster the People,2020-10-22 23:50:00
946,2,Taichi Mukai,2020-10-22 21:18:00
947,9,Daft Punk,2020-10-22 19:16:00
959,3,fripSide,2020-10-22 09:21:00
991,2,fripSide,2020-10-21 22:16:00
993,3,fripSide,2020-10-21 21:35:00
1067,2,Red Hot Chili Peppers,2020-10-19 19:03:00
1077,2,Foster the People,2020-10-19 17:10:00
1093,2,Taichi Mukai,2020-10-17 16:41:00
1135,11,Daft Punk,2020-10-15 19:52:00
1158,2,Taichi Mukai,2020-10-15 16:50:00
1162,3,Taichi Mukai,2020-10-15 12:18:00
1172,2,Cory Wong,2020-10-14 17:41:00
1187,2,Taichi Mukai,2020-10-14 12:57:00
1196,2,Vulfpeck,2020-10-13 22:11:00
1219,2,Arctic Monkeys,2020-10-13 20:10:00
1232,2,Jimi Hendrix,2020-10-13 17:18:00
1248,2,Taichi Mukai,2020-10-12 21:06:00
1269,2,The Kooks,2020-10-12 18:54:00
1273,15,Daft Punk,2020-10-11 16:25:00
1297,2,Taichi Mukai,2020-10-10 16:42:00
1298,2,Foster the People,2020-10-09 19:45:00
1326,2,Taichi Mukai,2020-10-07 18:05:00
1338,2,The Strokes,2020-10-06 18:47:00
1345,3,Phoenix,2020-10-06 18:12:00
1348,5,Taichi Mukai,2020-10-06 17:30:00
1350,2,Taichi Mukai,2020-10-06 17:20:00
1352,2,Taichi Mukai,2020-10-06 17:10:00
1373,68,Yuki Hayashi,2020-10-04 22:22:00
1376,2,Taichi Mukai,2020-10-04 22:08:00
1378,2,Taichi Mukai,2020-10-04 21:57:00
1380,2,Taichi Mukai,2020-10-04 21:47:00
1382,5,Taichi Mukai,2020-10-04 13:58:00
1393,2,Taichi Mukai,2020-10-03 14:42:00
1395,2,Taichi Mukai,2020-10-03 14:31:00
1397,3,Taichi Mukai,2020-10-03 14:16:00
1423,2,Taichi Mukai,2020-10-02 15:07:00
1425,4,Taichi Mukai,2020-10-02 01:11:00
1427,2,Yuki Hayashi,2020-10-02 00:52:00
1428,3,Taichi Mukai,2020-10-02 00:32:00
1430,2,Taichi Mukai,2020-10-02 00:22:00
1436,2,Taichi Mukai,2020-10-01 18:06:00
1445,3,Taichi Mukai,2020-09-30 18:14:00
1448,2,Taichi Mukai,2020-09-29 21:37:00
1459,2,Yuki Hayashi,2020-09-27 09:17:00
1460,3,Taichi Mukai,2020-09-27 09:05:00
1478,2,Andrea Bocelli,2020-09-26 21:48:00
1490,2,Taichi Mukai,2020-09-26 16:48:00
1498,5,Taichi Mukai,2020-09-25 13:31:00
1499,4,Yuki Hayashi,2020-09-24 18:20:00
1506,2,Taichi Mukai,2020-09-24 17:51:00
1518,2,Taichi Mukai,2020-09-24 16:21:00
1534,5,Taichi Mukai,2020-09-21 02:27:00
1536,3,Taichi Mukai,2020-09-20 17:19:00
1560,2,Foster the People,2020-09-20 00:02:00
1581,7,Taichi Mukai,2020-09-18 19:03:00
1588,20,Chico Buarque,2020-09-18 17:13:00
1589,33,Guru Woof Música Relaxante Para Crianças,2020-09-18 15:13:00
1595,24,Yuki Hayashi,2020-09-17 20:06:00
1597,24,Yuki Hayashi,2020-09-17 18:17:00
1636,2,Foster the People,2020-09-14 18:23:00
1657,4,Foster the People,2020-09-13 15:00:00
1709,2,Joe Pass,2020-09-01 23:01:00
1720,2,The Dave Brubeck Quartet,2020-08-31 21:37:00
1732,2,Vulfpeck,2020-08-31 20:29:00
1789,2,Emicida,2020-08-29 04:31:00
1793,5,Foster the People,2020-08-27 16:32:00
1810,6,Rage Against the Machine,2020-08-25 17:35:00
1836,2,Khruangbin,2020-08-24 20:14:00
1840,4,Chris Brown,2020-08-23 14:48:00
1848,2,The Kooks,2020-08-21 15:49:00
1852,2,Foster the People,2020-08-21 15:30:00
1867,2,Julian Lage,2020-08-21 14:24:00
1870,2,Hiromi,2020-08-21 13:59:00
1885,2,Snow Patrol,2020-08-19 18:06:00
1891,2,Antônio Carlos Jobim,2020-08-18 15:39:00
1907,2,Kenshi Yonezu,2020-08-18 14:16:00
1918,2,Chihiro Yamanaka,2020-08-06 23:09:00
1935,2,Vulfpeck,2020-08-06 22:33:00
1937,11,Foster the People,2020-08-05 22:49:00
1938,2,Saint Motel,2020-08-05 22:46:00
1969,2,Anderson .Paak,2020-08-05 18:36:00
1974,2,Cory Wong,2020-08-05 18:22:00
1978,3,Vulfpeck,2020-08-05 18:09:00
1983,3,Khruangbin,2020-08-05 17:56:00
1987,2,Hiromi,2020-08-05 17:36:00
1988,2,Yamandú Costa,2020-08-05 17:33:00
2014,10,Castlebeat,2020-08-04 18:29:00
2024,24,Castlebeat,2020-08-03 14:28:00
2051,2,Joe Pass,2020-07-29 19:42:00
2054,2,Vulfpeck,2020-07-29 19:25:00
2058,13,Vulfpeck,2020-07-28 20:53:00
2065,7,Two Door Cinema Club,2020-07-28 18:46:00
2066,12,Saint Motel,2020-07-28 17:31:00
2113,2,The Fearless Flyers,2020-07-26 13:33:00
2116,6,Michael Kiwanuka,2020-07-25 17:16:00
2136,6,KANA-BOON,2020-07-23 14:43:00
2140,2,Vulfpeck,2020-07-23 14:24:00
2150,2,Stella Jang,2020-07-22 03:53:00
2156,4,Phoenix,2020-07-21 21:44:00
2158,4,Emicida,2020-07-21 19:43:00
2161,2,OKAMOTO'S,2020-07-21 19:22:00
2170,2,Romes,2020-07-21 18:38:00
2177,2,OKAMOTO'S,2020-07-21 01:50:00
2181,24,The Fearless Flyers,2020-07-20 23:58:00
2194,13,Stella Jang,2020-07-18 22:30:00
2195,2,Davink,2020-07-18 22:23:00
2196,11,Stella Jang,2020-07-18 21:47:00
2215,4,Stella Jang,2020-07-18 20:24:00
2216,2,Kim Jae Hwan,2020-07-18 20:17:00
2217,22,Stella Jang,2020-07-18 18:09:00
2218,2,J Rabbit,2020-07-18 18:01:00
2238,4,Foster the People,2020-07-17 23:25:00
2239,2,The Knocks,2020-07-17 23:17:00
2240,11,Foster the People,2020-07-17 22:35:00
2243,2,Milton Nascimento,2020-07-17 22:17:00
2251,2,Milton Nascimento,2020-07-17 18:06:00
2271,4,Self,2020-07-16 23:34:00
2273,2,Public Enemy,2020-07-16 22:31:00
2274,4,Chihiro Yamanaka,2020-07-16 22:13:00
2275,20,Romes,2020-07-16 18:10:00
2323,6,Michael Kiwanuka,2020-07-15 14:47:00
2324,2,Audioslave,2020-07-14 23:57:00
2328,4,Bob Dylan,2020-07-14 23:26:00
2329,2,Charles Mingus,2020-07-14 23:12:00
2330,3,Chihiro Yamanaka,2020-07-14 22:20:00
2331,2,Coldplay,2020-07-14 22:11:00
2332,7,The Dave Brubeck Quartet,2020-07-14 21:35:00
2334,2,OKAMOTO'S,2020-07-14 20:15:00
2355,13,Khruangbin,2020-07-13 14:36:00
2387,2,Khruangbin,2020-07-11 17:49:00
2412,2,Agnes Obel,2020-07-10 00:50:00
2431,3,The Kooks,2020-07-09 17:18:00
2443,2,OKAMOTO'S,2020-07-09 15:21:00
2446,29,Phoenix,2020-07-09 13:21:00
2449,23,J Rabbit,2020-07-07 15:21:00
2464,2,The Kooks,2020-07-07 13:56:00
2482,2,The Kooks,2020-07-06 20:18:00
2543,3,Alceu Valença,2020-07-05 20:48:00
2546,2,Apparat,2020-07-05 03:43:00
2584,2,Red Hot Chili Peppers,2020-07-03 15:32:00
2596,2,Saint Motel,2020-07-03 14:38:00
2618,3,Phoenix,2020-07-02 17:27:00
2646,12,Ohashi Trio,2020-06-24 19:20:00
2647,2,Jimi Hendrix,2020-06-24 19:16:00
2675,2,Foster the People,2020-06-22 21:53:00
2677,4,Foster the People,2020-06-22 21:31:00
2694,3,OKAMOTO'S,2020-06-22 14:35:00
2695,4,Cory Wong,2020-06-20 02:02:00
2696,60,OKAMOTO'S,2020-06-17 14:00:00
2777,2,Public Enemy,2020-06-12 18:21:00
2778,4,Emicida,2020-06-12 18:08:00
2781,2,Milton Nascimento,2020-06-11 23:10:00
2794,4,Self,2020-06-11 22:11:00
2801,2,Pomplamoose,2020-06-10 17:59:00
2805,2,山崎まさよし,2020-06-10 17:17:00
2806,7,Public Enemy,2020-06-09 18:29:00
2817,2,Self,2020-06-09 16:44:00
2821,2,The Kooks,2020-06-08 01:39:00
2822,15,Emicida,2020-06-07 15:49:00
2830,2,Public Enemy,2020-06-05 20:05:00
2832,3,Public Enemy,2020-06-05 19:01:00
2834,7,Public Enemy,2020-06-03 19:16:00
2838,2,Public Enemy,2020-06-03 18:03:00
2844,16,Rage Against the Machine,2020-06-01 14:47:00
2851,2,Will Smith,2020-05-31 16:53:00
2852,2,Public Enemy,2020-05-31 16:46:00
2855,2,Mena Massoud,2020-05-31 03:36:00
2856,2,Will Smith,2020-05-31 03:29:00
2859,2,Vulfpeck,2020-05-31 00:27:00
2862,2,Mena Massoud,2020-05-31 00:15:00
2864,3,Public Enemy,2020-05-30 18:17:00
2865,7,Cory Wong,2020-05-30 14:33:00
2866,2,Mena Massoud,2020-05-30 04:37:00
2873,2,Vulfpeck,2020-05-29 18:01:00
2882,3,Queens of the Stone Age,2020-05-29 17:07:00
2884,2,Foster the People,2020-05-27 16:58:00
2885,4,Rage Against the Machine,2020-05-26 18:52:00
2887,3,Rage Against the Machine,2020-05-26 18:20:00
2896,3,Rage Against the Machine,2020-05-26 02:56:00
2899,2,Self,2020-05-25 17:16:00
2915,4,Self,2020-05-25 13:59:00
2916,3,Cory Wong,2020-05-24 20:56:00
2917,2,Hiromi,2020-05-24 20:42:00
2922,11,Self,2020-05-23 19:50:00
2927,26,Self,2020-05-22 17:58:00
2934,11,Foster the People,2020-05-22 03:09:00
2952,2,Arctic Monkeys,2020-05-20 19:04:00
2962,2,木村弓,2020-05-20 17:28:00
2963,2,久石譲,2020-05-20 17:18:00
2998,3,Foster the People,2020-05-19 18:51:00
3037,2,久石譲,2020-05-17 18:39:00
3039,3,久石譲,2020-05-17 18:25:00
3040,2,野見祐二,2020-05-17 18:21:00
3043,2,Milton Nascimento,2020-05-16 00:37:00
3064,2,Vulfpeck,2020-05-13 14:58:00
3102,2,Dua Lipa,2020-05-12 21:23:00
3118,2,KT Tunstall,2020-05-12 17:56:00
3139,2,Novos Baianos,2020-05-11 18:44:00
3143,2,Brad Mehldau,2020-05-11 18:09:00
3144,10,The Philadelphia Experiment,2020-05-11 17:16:00
3145,3,Phoenix,2020-05-11 15:25:00
3146,7,Daft Punk,2020-05-11 14:04:00
3148,2,Milton Nascimento,2020-05-11 13:53:00
3150,2,Wednesday Campanella,2020-05-11 13:39:00
3152,2,Quad City DJ's,2020-05-10 16:43:00
3153,3,Foo Fighters,2020-05-10 15:52:00
3154,2,Pomplamoose,2020-05-10 15:39:00
3155,5,Milton Nascimento,2020-05-10 02:49:00
3159,8,KT Tunstall,2020-05-10 01:40:00
3161,4,Pomplamoose,2020-05-08 20:31:00
3162,16,Christian McBride,2020-05-08 01:08:00
3164,6,Christian McBride,2020-05-07 20:43:00
3168,2,"Grover Washington, Jr.",2020-05-07 20:07:00
3169,10,Pomplamoose,2020-05-07 19:20:00
3183,7,Caetano Veloso,2020-05-05 20:07:00
3188,7,Duke Ellington,2020-05-05 18:41:00
3244,7,Baco Exu do Blues,2020-05-01 17:04:00
3292,3,Kristen Bell,2020-04-28 20:59:00
3293,2,Shuyodan,2020-04-28 15:45:00
3303,2,The Strokes,2020-04-27 19:32:00
3307,2,Wednesday Campanella,2020-04-27 19:15:00
3316,2,Shuyodan,2020-04-27 18:40:00
3317,3,Foster the People,2020-04-27 17:12:00
